id,rank,question,score,manual_name,source_file,section_title,section_index,chunk_index,doc_id,image_ids,preview
1,1,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.677747,烤箱手册,烤箱手册.txt,重要安全说明,1,3,manual_烤箱手册_s1_c3,,收或可重复使用材料制造。请按照当地废弃物处理规定进行处置。报废前，请剪断电源线。- 如需了解更多关于家用电器处理、回收及再利用信息，请联系当地主管部门、生活垃圾回收服务或购买设备的商店。
1,2,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.654372,VR头显手册,VR头显手册.txt,提示,23,0,manual_VR头显手册_s23_c0,,# 提示 ● 配置设置需要家长控制密码。 ● 所设限制适用于主机所有用户。
1,3,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.650714,洗碗机手册,洗碗机手册.txt,概览 1. 台式（视型号而定）2. 上层喷淋臂 3. 下层碗篮 4. 下层喷淋臂 5. 过滤器 6. 控制面板 7. 机门 8. 洗涤剂盒 9. 下层喷淋臂槽,1,3,manual_洗碗机手册_s1_c3,,于家庭使用。・仅可用于清洗家用餐具。・必须使用洗碗机专用洗涤剂、亮碟剂及添加剂。・制造商对因不当使用或运输造成的后果不承担责任。・产品使用寿命为 10 年。在此期间，可提供原装配件以保证设备正常运行。 ・身体、感官或精神有障碍，或缺乏相关知识和经验的人员（包括儿童），除非有负责其安全的人员监督或指导使用，否则不得使用本
1,4,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.641987,摩托艇手册,摩托艇手册.txt,练习7：滑航速度操作,51,0,manual_摩托艇手册_s51_c0,,# 练习7：滑航速度操作
1,5,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.629,冰箱手册,冰箱手册.txt,重要安全说明 • 请勿拆卸、维修或改装本电器，可能引发火灾或异常运行，导致受伤。 • 更换冰箱内部灯泡前请拔下电源插头，否则有触电风险。 • 尽可能为冰箱冰柜,61,0,manual_冰箱手册_s61_c0,,# 重要安全说明 • 请勿拆卸、维修或改装本电器，可能引发火灾或异常运行，导致受伤。 • 更换冰箱内部灯泡前请拔下电源插头，否则有触电风险。 • 尽可能为冰箱冰柜 配备独立电源插座，避免与其他电器或家用灯具共用导致过载。
2,1,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.844797,冰箱手册,冰箱手册.txt,电源插头可触及性,63,0,manual_冰箱手册_s63_c0,,# 电源插头可触及性 冰箱冰柜的电源插头应放置在紧急情况下可快速断开的易触及位置。
2,2,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.762021,摩托艇手册,摩托艇手册.txt,技能： 停车、滑航速度操作及滑航速度下停车。,46,0,manual_摩托艇手册_s46_c0,,# 技能： 停车、滑航速度操作及滑航速度下停车。
2,3,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.730275,空调手册,空调手册.txt,注意,7,0,manual_空调手册_s7_c0,,# 注意 若无视以下指示，可能导致轻微受伤或产品损坏。
2,4,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.723643,相机手册,相机手册.txt,拍摄模式 根据用途或场景选择拍摄模式。（第57页） • 也可使用在快门按钮设置中分配了拍摄模式切换功能的快门按钮。反复按下按钮选择拍摄模式。,33,0,manual_相机手册_s33_c0,,# 拍摄模式 根据用途或场景选择拍摄模式。（第57页） • 也可使用在快门按钮设置中分配了拍摄模式切换功能的快门按钮。反复按下按钮选择拍摄模式。
2,5,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.712456,空调手册,空调手册.txt,警告,6,0,manual_空调手册_s6_c0,,# 警告 若无视以下指示，可能导致严重伤亡。
3,1,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.675774,摩托艇手册,摩托艇手册.txt,技能： 无需思考即可知晓每个操控装置的位置与使用方法。,6,0,manual_摩托艇手册_s6_c0,,# 技能： 无需思考即可知晓每个操控装置的位置与使用方法。
3,2,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.673848,VR头显手册,VR头显手册.txt,使用头显时的姿势,21,0,manual_VR头显手册_s21_c0,,# 使用头显时的姿势 尽可能保持坐姿。支持站立模式的应用程序，请严格遵循其指示操作。
3,3,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.659927,相机手册,相机手册.txt,■ 电池注意事项 电池不使用时电量会逐渐流失。,51,0,manual_相机手册_s51_c0,,# ■ 电池注意事项 电池不使用时电量会逐渐流失。 使用前1至2天充电。 不使用时关闭相机可延长电池寿命。 低温下电池容量下降；电量耗尽的电池在低温下可能无法工作。 请将充满电的备用电池放在温暖处，必要时更换；或将电池放在温暖处，拍摄时再装入相机。 请勿将电池直接与暖手宝或其他加热设备接触。
3,4,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.655832,发电机手册,发电机手册.txt,注意：这些编号的前三位为机型标识，其余数字为产品生产编号。请妥善记录，以便向发电机经销商订购配件时参考。,3,0,manual_发电机手册_s3_c0,,# 注意：这些编号的前三位为机型标识，其余数字为产品生产编号。请妥善记录，以便向发电机经销商订购配件时参考。
3,5,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.650057,相机手册,相机手册.txt,打印其他相机拍摄的图像 插入包含图像的存储卡可打印其他相机拍摄的图像。但需满足以下条件。,30,0,manual_相机手册_s30_c0,,# 打印其他相机拍摄的图像 插入包含图像的存储卡可打印其他相机拍摄的图像。但需满足以下条件。 • 将要打印的图像复制到根目录，而非文件夹中。 • 文件名由四个大写字母（A-Z）加四个数字组成。
4,1,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.722447,冰箱手册,冰箱手册.txt,门体报警,80,0,manual_冰箱手册_s80_c0,,# 门体报警 冰箱门长时间打开时，报警器鸣响。
4,2,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.697371,VR头显手册,VR头显手册.txt,镜片,30,0,manual_VR头显手册_s30_c0,,# 镜片 仅使用专用柔软干布擦拭镜片。请勿使用纸巾等非镜片专用纸质产品。
4,3,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.685281,摩托艇手册,摩托艇手册.txt,技能： 搭载乘客登艇及操控。,61,0,manual_摩托艇手册_s61_c0,,# 技能： 搭载乘客登艇及操控。
4,4,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",0.685281,摩托艇手册,摩托艇手册.txt,技能： 拖曳速度启动与转向。,29,0,manual_摩托艇手册_s29_c0,,# 技能： 拖曳速度启动与转向。
