id,question,keywords,matched_keywords,keyword_coverage,result_count,top1_score,avg_score,top_manuals,top_image_ids,hit_quality
1,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",请问你们家的商品支持|7|天无理由退换货吗|需要自己承担运费吗,7,0.25,5,0.6777,0.6508,烤箱手册|VR头显手册|洗碗机手册,,medium
2,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",我想咨询一下|你们的售后维修服务范围是什么|如果是人为损坏的|能维修吗|维修费用怎么算,,0.0,5,0.8448,0.7546,冰箱手册|摩托艇手册|空调手册,,low
3,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",请问你们的商品能开发票吗|发票类型是什么|多久能收到呢,,0.0,5,0.6758,0.6631,摩托艇手册|VR头显手册|相机手册,,low
4,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",我收到商品后|发现包装破损了|怎么办|影响商品退换货吗,,0.0,5,0.7224,0.6929,冰箱手册|VR头显手册|摩托艇手册,,low
6,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",我想了解一下你们的退款政策|退款多久能到账|信用卡会原路返回吗,,0.0,5,0.7266,0.699,相机手册|空调手册|相机手册,,low
7,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,我收到的商品和图片不一样|颜色偏差很大|我要投诉,,0.0,5,0.6617,0.6125,空调手册|水泵手册|洗碗机手册,,low
8,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,你们的商品存在虚假宣传|宣传的功能和实际不一样|我要投诉,,0.0,5,0.6289,0.5947,空调手册|水泵手册|空调手册,,low
9,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,我收到的商品少了一件|联系客服说会补发|但是过了一周还没补发,,0.0,5,0.6481,0.5994,水泵手册|健身追踪器手册|相机手册,,low
10,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,你们的售后维修服务太差了|我送修的商品|过了半个月还没修好,,0.0,5,0.668,0.6278,洗碗机手册|洗碗机手册|电钻手册,,low
11,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,你们的商品保质期有问题|我收到的商品还有|1|个月就过期了,,0.0,5,0.7552,0.6876,VR头显手册|电钻手册|冰箱手册,,low
12,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,你们的快递员态度特别差|送货时还辱骂我|我要投诉,,0.0,5,0.748,0.6821,洗碗机手册|洗碗机手册|功能键盘手册,,low
13,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,你们的商品存在质量问题|我使用了一次就坏了|联系客服没人管,,0.0,5,0.7097,0.6583,洗碗机手册|洗碗机手册|冰箱手册,,low
14,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,我收到的商品被拆封过|里面还有污渍|明显是二手商品|我要投诉,,0.0,5,0.7122,0.699,洗碗机手册|洗碗机手册|洗碗机手册,,low
15,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,你们的商品宣传是正品|但是我收到后验证是假货|我要投诉,,0.0,5,0.6785,0.6501,相机手册|相机手册|水泵手册,,low
16,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,我收到商品后|发现商品有轻微划痕|不影响使用|能申请换货吗,,0.0,5,0.7901,0.6896,冰箱手册|空调手册|功能键盘手册,,low
17,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",我想换货|但是原来的商品包装盒丢了|还能换吗|需要我额外支付包装费吗,,0.0,5,0.7292,0.7168,冰箱手册|冰箱手册|儿童电动摩托车手册,,low
18,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,我想退货|但是已经超过|7|天无理由退换货期限了|还能退吗,7,0.2,5,0.7394,0.6665,摩托艇手册|摩托艇手册|健身单车手册,,medium
