id,dominant_route,confidence,risk_level,sub_question_count,service_route_count,mixed_route_count,manual_route_count,answer_chars,image_count,has_pic_marker,has_numbered_structure,keyword_coverage,used_fallback,service_like_question,classifier_used_count,classifier_dominant_label,classifier_avg_confidence,question,answer
1,service,0.8421,low,2,2,0,0,197,0,False,True,1.0,False,True,0,service,0.7466,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？","我先按你的问题逐项说明：
1. 关于“请问你们家的商品支持7天无理由退换货吗”：若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
2. 关于“需要自己承担运费吗”：乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运方式和订单信息核实。
为尽快帮你核实处理，建议补充：订单号、签收时间、商品状态、包装是否完整、商品类型、使用情况。"
2,service,0.8696,low,2,2,0,0,223,0,False,True,1.0,False,True,0,service,0.7883,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？","我先按你的问题逐项说明：
1. 关于“我想咨询一下，你们的售后维修服务范围是什么”：若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
2. 关于“如果是人为损坏的，能维修吗，维修费用怎么算”：若属于人为损坏，通常仍可申请有偿维修，但是否可修、费用如何计算需结合故障情况和配件情况核实。
为尽快帮你核实处理，建议补充：订单号、购买时间、故障描述、维修单号、售后凭证、维修承诺时限。"
3,service,0.8182,low,1,1,0,0,90,0,False,False,0.1429,False,True,0,service,0.8333,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？","开票前需要先确认订单是否支持开票，以及需要电子发票还是纸质发票、个人抬头还是企业抬头。
为尽快帮你核实处理，建议补充：订单号、物流单号、收货地区、下单时间、物流异常截图、发票类型。"
4,service,0.8636,low,2,2,0,0,197,0,False,True,1.0,False,True,0,service,0.5606,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？","我先按你的问题逐项说明：
1. 关于“我收到商品后，发现包装破损了，怎么办”：若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批次信息和问题照片。
2. 关于“影响商品退换货吗”：若商品仍在7天无理由时效内，且商品及包装保持完好、不影响二次销售，一般可申请退货或换货。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、商品照片。"
6,service,0.8333,low,2,2,0,0,178,0,False,True,1.0,False,True,0,service,0.7037,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？","我先按你的问题逐项说明：
1. 关于“我想了解一下你们的退款政策，退款多久能到账”：退款通常会按原支付路径退回，到账时间与支付方式、银行或支付机构处理时效有关。
2. 关于“信用卡会原路返回吗”：若订单仍未发货或可取消，一般可先提交取消申请，再根据审核结果处理退款。
为尽快帮你核实处理，建议补充：订单号、订单状态、支付方式、退款原因、物流单号、收货地区。"
7,service,0.8462,low,1,1,0,0,104,0,False,False,0.15,False,True,0,service,0.8396,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,"若用户反馈页面宣传与实物功能、颜色、性能不一致，需要先保留页面截图、商品照片和沟通记录，便于核实是否存在描述不符。
为尽快帮你核实处理，建议补充：订单号、页面截图、商品照片、聊天记录、发生时间、问题商品清单。"
8,service,0.8462,low,1,1,0,0,104,0,False,False,0.2174,False,True,0,service,0.7588,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,"若用户反馈页面宣传与实物功能、颜色、性能不一致，需要先保留页面截图、商品照片和沟通记录，便于核实是否存在描述不符。
为尽快帮你核实处理，建议补充：订单号、页面截图、商品照片、聊天记录、发生时间、问题商品清单。"
9,service,0.8333,low,1,1,0,0,92,0,False,False,0.087,False,True,0,service,0.8347,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,"若涉及运输责任、商品破损或影响使用，通常可进一步判断是补发、换货、退货退款还是物流索赔。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、商品照片。"
10,service,0.8462,low,1,1,0,0,105,0,False,False,0.125,False,True,0,service,0.9096,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,"若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象和售后凭证，再判断是否走免费维修、换货或其他售后流程。
为尽快帮你核实处理，建议补充：订单号、购买时间、故障描述、维修单号、售后凭证、维修承诺时限。"
11,service,0.8462,low,1,1,0,0,102,0,False,False,0.2,False,False,1,service,0.8535,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,"若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批次信息和问题照片。
为尽快帮你核实处理，建议补充：订单号、商品照片、生产日期/批次、页面截图、就医或检测凭证、问题商品清单。"
12,service,0.8462,low,1,1,0,0,93,0,False,False,0.2,False,True,0,service,0.786,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,"若涉及快递员、安装人员或客服态度问题，也需要记录发生时间、对象和证据，再按投诉流程升级处理。
为尽快帮你核实处理，建议补充：订单号、页面截图、商品照片、聊天记录、发生时间、问题商品清单。"
13,service,0.8333,low,1,1,0,0,108,0,False,False,0.1667,False,True,0,manual,0.5923,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,"若页面未明确标注临期，或商品已明显影响正常食用，通常应尽快核实订单和商品信息，再按质量问题或描述不符流程处理。
为尽快帮你核实处理，建议补充：订单号、商品照片、生产日期/批次、页面截图、就医或检测凭证、问题商品清单。"
14,service,0.8462,low,1,1,0,0,97,0,False,False,0.087,False,True,0,service,0.5536,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,"若收到临期、过期、受潮或包装破损的食品类商品，需要优先保留商品包装、生产日期、批次信息和问题照片。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、商品照片。"
15,service,0.8462,low,1,1,0,0,93,0,False,False,0.1304,False,True,0,service,0.8559,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,"若怀疑假货、翻新或虚假宣传，需要尽快提交商品凭证、检测结果或页面承诺信息，由售后进一步核实。
为尽快帮你核实处理，建议补充：订单号、页面截图、商品照片、聊天记录、发生时间、问题商品清单。"
16,service,0.8333,low,1,1,0,0,92,0,False,False,0.2381,False,True,0,service,0.6699,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,"若涉及运输责任、商品破损或影响使用，通常可进一步判断是补发、换货、退货退款还是物流索赔。
为尽快帮你核实处理，建议补充：订单号、签收时间、外包装照片、商品损坏照片、物流单号、商品照片。"
