id,question,keywords,matched_keywords,keyword_coverage,result_count,top1_score,avg_score,recall@5,recall@3,inferred_route,heuristic_route,retrieval_mode,rule_route,strong_rule_route,classifier_label,classifier_confidence,classifier_used,service_result_count,manual_result_count,top_manuals,top_image_ids,hit_quality
1,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",请问你们家的商品支持|7|天无理由退换货吗|需要自己承担运费吗,请问你们家的商品支持|7|天无理由退换货吗|需要自己承担运费吗,1.0,4,0.7529,0.7407,1.0,1.0,service,service,dual_route,service,service,service,0.4659,False,4,0,,,high
2,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",我想咨询一下|你们的售后维修服务范围是什么|如果是人为损坏的|能维修吗|维修费用怎么算,我想咨询一下|你们的售后维修服务范围是什么|如果是人为损坏的|能维修吗|维修费用怎么算,1.0,4,0.8086,0.8005,1.0,1.0,service,mixed,dual_route,service,service,service,0.7412,False,4,0,,,high
3,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",请问你们的商品能开发票吗|发票类型是什么|多久能收到呢,请问你们的商品能开发票吗|发票类型是什么|多久能收到呢,1.0,4,0.7079,0.6886,1.0,1.0,service,service,dual_route,service,service,service,0.7085,False,4,0,,,medium
4,"我收到商品后，发现包装破损了，怎么办？
影响商品退换货吗？",我收到商品后|发现包装破损了|怎么办|影响商品退换货吗,我收到商品后|发现包装破损了|怎么办|影响商品退换货吗,1.0,4,0.691,0.6791,1.0,1.0,service,mixed,dual_route,service,service,service,0.671,False,4,0,,,medium
6,"我想了解一下你们的退款政策，退款多久能到账？
信用卡会原路返回吗？",我想了解一下你们的退款政策|退款多久能到账|信用卡会原路返回吗,我想了解一下你们的退款政策|退款多久能到账|信用卡会原路返回吗,1.0,4,0.7886,0.7677,1.0,1.0,service,service,dual_route,service,service,service,0.6911,False,4,0,,,high
7,我收到的商品和图片不一样，颜色偏差很大，我要投诉！,我收到的商品和图片不一样|颜色偏差很大|我要投诉,我收到的商品和图片不一样|颜色偏差很大|我要投诉,1.0,4,0.6703,0.6687,1.0,1.0,service,service,dual_route,service,service,service,0.7494,False,4,0,,,medium
8,你们的商品存在虚假宣传，宣传的功能和实际不一样，我要投诉！,你们的商品存在虚假宣传|宣传的功能和实际不一样|我要投诉,你们的商品存在虚假宣传|宣传的功能和实际不一样|我要投诉,1.0,4,0.7529,0.7128,1.0,1.0,service,mixed,dual_route,service,service,service,0.5898,False,4,0,,,high
9,我收到的商品少了一件，联系客服说会补发，但是过了一周还没补发！,我收到的商品少了一件|联系客服说会补发|但是过了一周还没补发,我收到的商品少了一件|联系客服说会补发|但是过了一周还没补发,1.0,4,0.6815,0.6291,1.0,1.0,service,unknown,dual_route,service,service,service,0.683,False,4,0,,,medium
10,你们的售后维修服务太差了，我送修的商品，过了半个月还没修好！,你们的售后维修服务太差了|我送修的商品|过了半个月还没修好,你们的售后维修服务太差了|我送修的商品|过了半个月还没修好,1.0,4,0.7986,0.7905,1.0,1.0,service,service,dual_route,service,service,service,0.8298,False,4,0,,,high
11,你们的商品保质期有问题，我收到的商品还有1个月就过期了！,你们的商品保质期有问题|我收到的商品还有|1|个月就过期了,1,0.25,4,0.2687,0.2483,1.0,1.0,service,manual,dual_route,manual,,service,0.7088,True,4,0,,,low
12,你们的快递员态度特别差，送货时还辱骂我，我要投诉！,你们的快递员态度特别差|送货时还辱骂我|我要投诉,你们的快递员态度特别差|送货时还辱骂我|我要投诉,1.0,4,0.7407,0.7152,1.0,1.0,service,service,dual_route,service,service,service,0.7523,False,4,0,,,high
13,你们的商品存在质量问题，我使用了一次就坏了，联系客服没人管！,你们的商品存在质量问题|我使用了一次就坏了|联系客服没人管,,0.0,4,0.2473,0.2434,1.0,1.0,service,manual,dual_route,service,service,service,0.4834,False,4,0,,,low
14,我收到的商品被拆封过，里面还有污渍，明显是二手商品，我要投诉！,我收到的商品被拆封过|里面还有污渍|明显是二手商品|我要投诉,我收到的商品被拆封过|里面还有污渍|明显是二手商品|我要投诉,1.0,4,0.7465,0.7231,1.0,1.0,service,service,dual_route,service,service,service,0.6103,False,4,0,,,high
15,你们的商品宣传是正品，但是我收到后验证是假货，我要投诉！,你们的商品宣传是正品|但是我收到后验证是假货|我要投诉,你们的商品宣传是正品|但是我收到后验证是假货|我要投诉,1.0,4,0.7899,0.7507,1.0,1.0,service,service,dual_route,service,service,service,0.7744,False,4,0,,,high
16,我收到商品后，发现商品有轻微划痕，不影响使用，能申请换货吗？,我收到商品后|发现商品有轻微划痕|不影响使用|能申请换货吗,我收到商品后|发现商品有轻微划痕|不影响使用|能申请换货吗,1.0,4,0.6778,0.673,1.0,1.0,service,mixed,dual_route,service,service,service,0.6765,False,4,0,,,medium
17,"我想换货，但是原来的商品包装盒丢了，还能换吗？
需要我额外支付包装费吗？",我想换货|但是原来的商品包装盒丢了|还能换吗|需要我额外支付包装费吗,我想换货|但是原来的商品包装盒丢了|还能换吗|需要我额外支付包装费吗,1.0,4,0.741,0.7334,1.0,1.0,service,service,dual_route,service,service,service,0.4843,False,4,0,,,high
18,我想退货，但是已经超过7天无理由退换货期限了，还能退吗？,我想退货|但是已经超过|7|天无理由退换货期限了|还能退吗,7|还能退吗,0.4,4,0.6723,0.6425,1.0,1.0,service,service,dual_route,service,service,service,0.5798,False,4,0,,,medium
19,"请问你们的商品能提供纸质版说明书吗？
电子版在哪里可以找到？",请问你们的商品能提供纸质版说明书吗|电子版在哪里可以找到,请问你们的商品能提供纸质版说明书吗|电子版在哪里可以找到,1.0,4,0.8129,0.759,1.0,1.0,service,service,dual_route,service,service,manual,0.4361,False,4,0,,,high
20,"请问你们家的商品能寄到国外吗？
运费怎么算？大概需要多久能到？",请问你们家的商品能寄到国外吗|运费怎么算|大概需要多久能到,请问你们家的商品能寄到国外吗|运费怎么算|大概需要多久能到,1.0,4,0.8266,0.7462,1.0,1.0,service,mixed,dual_route,service,service,service,0.625,False,4,0,,,high
21,"我购买的商品，想开发票抬头为公司，需要注意什么？
抬头写错了，能重新开具吗？",我购买的商品|想开发票抬头为公司|需要注意什么|抬头写错了|能重新开具吗,我购买的商品|想开发票抬头为公司|需要注意什么|抬头写错了|能重新开具吗,1.0,4,0.8012,0.7566,1.0,1.0,service,service,dual_route,service,service,manual,0.5835,False,4,0,,,high
22,"我收到商品后，发现商品有瑕疵，但是已经使用过了，能售后吗？
换货还是只能维修？",我收到商品后|发现商品有瑕疵|但是已经使用过了|能售后吗|换货还是只能维修,我收到商品后|发现商品有瑕疵|但是已经使用过了|能售后吗|换货还是只能维修,1.0,4,0.7567,0.7478,1.0,1.0,service,mixed,dual_route,service,service,service,0.8574,False,4,0,,,high
23,我想取消订单，但是订单已经付款了，能全额退款吗？,我想取消订单|但是订单已经付款了|能全额退款吗,我想取消订单|但是订单已经付款了|能全额退款吗,1.0,4,0.797,0.7435,1.0,1.0,service,service,dual_route,service,service,service,0.7404,False,4,0,,,high
24,"请问你们的商品有售后保障卡吗？
卡丢了，还能享受售后服务吗？",请问你们的商品有售后保障卡吗|卡丢了|还能享受售后服务吗,请问你们的商品有售后保障卡吗|卡丢了|还能享受售后服务吗,1.0,4,0.6816,0.6742,1.0,1.0,service,unknown,dual_route,service,service,service,0.6748,False,4,0,,,medium
25,请问你们家支持以旧换新服务吗？,请问你们家支持以旧换新服务吗,,0.0,4,0.2317,0.2234,1.0,1.0,service,unknown,dual_route,service,service,service,0.7531,False,4,0,,,low
26,"请问你们的智能客服能解答哪些问题？
智能客服解答不了的问题，怎么办？",请问你们的智能客服能解答哪些问题|智能客服解答不了的问题|怎么办,怎么办,0.3333,4,0.2186,0.1994,1.0,1.0,service,manual,dual_route,service,service,manual,0.7464,False,4,0,,,low
33,"家支持7天无理由退货吗？
需要满足什么条件？",家支持|7|天无理由退货吗|需要满足什么条件,7,0.25,4,0.5883,0.5634,1.0,1.0,service,service,dual_route,service,service,service,0.7084,False,4,0,,,medium
34,"我购买的商品，收到后发现少发了一件，怎么办？
什么时候能补寄？需要我承担运费吗？",我购买的商品|收到后发现少发了一件|怎么办|什么时候能补寄|需要我承担运费吗,我购买的商品|收到后发现少发了一件|怎么办|什么时候能补寄|需要我承担运费吗,1.0,4,0.7716,0.698,1.0,1.0,service,mixed,dual_route,service,service,service,0.5693,False,4,0,,,high
35,想换成其他款式，能换货吗？,想换成其他款式|能换货吗,,0.0,4,0.4753,0.4609,1.0,1.0,service,service,dual_route,service,service,manual,0.5378,False,4,0,,,low
36,请问商品的生产日期是什么时候？,请问商品的生产日期是什么时候,,0.0,4,0.2444,0.2258,1.0,1.0,service,unknown,dual_route,manual,,service,0.5294,True,4,0,,,low
37,请问你们的商品能提供上门安装服务吗？,请问你们的商品能提供上门安装服务吗,请问你们的商品能提供上门安装服务吗,1.0,2,0.7926,0.694,1.0,1.0,service,service,dual_route,service,service,service,0.5191,False,2,0,,,high
38,请问你们的商品能提供试用装吗？,请问你们的商品能提供试用装吗,请问你们的商品能提供试用装吗,1.0,4,0.7913,0.5758,1.0,1.0,service,service,dual_route,service,service,service,0.7143,False,4,0,,,high
39,我购买的商品，使用一段时间后出现质量问题，还能售后吗？,我购买的商品|使用一段时间后出现质量问题|还能售后吗,我购买的商品|使用一段时间后出现质量问题|还能售后吗,1.0,4,0.6814,0.676,1.0,1.0,service,manual,dual_route,service,service,service,0.7952,False,4,0,,,medium
40,"我想给商品更换成更大的尺寸，能换吗？
尺寸差价怎么处理？",我想给商品更换成更大的尺寸|能换吗|尺寸差价怎么处理,能换吗,0.3333,4,0.4851,0.4803,1.0,1.0,service,manual,dual_route,service,service,manual,0.5993,False,4,0,,,low
41,"快递丢失了，怎么办？""，
这种情况你们会怎么赔偿？多久能解决？",快递丢失了|怎么办|这种情况你们会怎么赔偿|多久能解决,快递丢失了|怎么办|这种情况你们会怎么赔偿|多久能解决,1.0,4,0.6675,0.638,1.0,1.0,service,mixed,dual_route,service,service,manual,0.6459,False,4,0,,,medium
42,我购买的商品，想申请退款，但是已经使用过了，能退吗？,我购买的商品|想申请退款|但是已经使用过了|能退吗,我购买的商品|想申请退款|但是已经使用过了|能退吗,1.0,4,0.6929,0.6452,1.0,1.0,service,mixed,dual_route,service,service,service,0.7873,False,4,0,,,medium
43,我购买的商品，快递送达时，我不在家，怎么办？,我购买的商品|快递送达时|我不在家|怎么办,我购买的商品|快递送达时|我不在家|怎么办,1.0,4,0.6266,0.5578,1.0,1.0,service,mixed,dual_route,service,service,service,0.6645,False,4,0,,,medium
44,请问你们的优惠券能用于所有商品吗？,请问你们的优惠券能用于所有商品吗,,0.0,4,0.2221,0.2167,1.0,1.0,service,unknown,dual_route,service,service,manual,0.5647,False,4,0,,,low
45,请问你们的商品能提供终身维修服务吗？,请问你们的商品能提供终身维修服务吗,请问你们的商品能提供终身维修服务吗,1.0,4,0.6777,0.6721,1.0,1.0,service,service,dual_route,service,service,service,0.743,False,4,0,,,medium
46,我上个月购买的家电，使用不到一个月就出现故障，联系售后寄回维修，现在已经维修15天了，还没收到，而且我发现商品是翻新机，并非全新，要求退货退款并赔偿，请问该怎么处理？,我上个月购买的家电|使用不到一个月就出现故障|联系售后寄回维修|现在已经维修|15|天了|还没收到|而且我发现商品是翻新机|并非全新|要求退货退款并赔偿|请问该怎么处理,我上个月购买的家电|使用不到一个月就出现故障|联系售后寄回维修|现在已经维修|15|天了|还没收到|而且我发现商品是翻新机|并非全新|要求退货退款并赔偿|请问该怎么处理,1.0,4,0.7249,0.693,1.0,1.0,service,mixed,dual_route,service,service,service,0.7531,False,4,0,,,high
