id,rank,question,score,manual_name,source_file,section_title,section_index,chunk_index,doc_id,route,heuristic_route,result_route,image_ids,preview
1,1,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.752892,,,,,,service_policy_return_7day,service,service,service,,【客服主题】7天无理由退换货规则 【适用意图】return_exchange 【关键词】7天无理由、退货、换货、退换货、颜色偏差、尺寸不合适 【适用场景】 1. 用户在签收后短时间内因个人原因申请退货或换货 2. 商品颜色、尺寸、款式与预期不符，但商品本身不存在明显质量问题 【标准答复】 1. 若商品仍在7天无理由时效
1,2,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.739101,,,,,,service_qa_exchange_flow,service,service,service,,【客服主题】换货流程指引 【适用意图】return_exchange 【关键词】换货、更换、换型号、换颜色 【标准答复】 1. 换货需先申请，审核通过后寄回原商品 2. 收到退回商品后，会重新发出新商品 3. 换货时效一般为7-15个工作日 4. 同款换货一般不产生额外费用，差价需补缴或退还 【需核实信息】 - 订单号
1,3,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.735499,,,,,,service_policy_return_shipping,service,service,service,,【客服主题】退换货运费承担与包装要求 【适用意图】return_exchange 【关键词】运费、谁承担、包装盒丢了、包装费、少件、破损、质量问题 【适用场景】 1. 用户咨询退换货运费、原包装缺失、少件或质量问题导致的退换处理 【标准答复】 1. 若属于个人原因退换，一般需要结合平台规则判断寄回运费由谁承担。 2. 
1,4,"请问你们家的商品支持7天无理由退换货吗？
需要自己承担运费吗？",0.73549,,,,,,service_qa_return_condition,service,service,service,,【客服主题】退货条件判断 【适用意图】return_exchange 【关键词】退货条件、能退吗、可以退吗、退不退 【标准答复】 1. 商品及包装完好、不影响二次销售的情况下，一般可退 2. 已拆封、已使用但不影响二次销售的，视具体商品而定 3. 贴身用品、食品、个人定制等可能不支持7天无理由 4. 若商品存在质量问题
2,1,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.808648,,,,,,service_qa_repair_normal,service,mixed,service,,【客服主题】常规维修申请 【适用意图】repair_warranty 【关键词】维修、报修、需要维修、故障 【标准答复】 1. 质保期内非人为损坏，一般可申请免费维修 2. 维修申请需提供：订单号、商品型号、故障描述 3. 部分商品支持上门取件维修服务 4. 维修周期一般为7-15个工作日，视故障复杂程度 【需核实信息
2,2,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.803109,,,,,,service_qa_repair_overtime,service,mixed,service,,【客服主题】维修超时处理 【适用意图】repair_warranty 【关键词】维修超时、半个月、15天、修了好久、还没修好 【标准答复】 1. 维修周期明显超过承诺时限，需尽快催办 2. 可提供维修单号帮助查询当前进度 3. 如因配件缺货导致延误，可申请退款或换货 4. 超长等待可申请升级处理或退款 【需核实信息】 
2,3,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.801517,,,,,,service_policy_quality_and_warranty,service,mixed,service,,【客服主题】质量问题、质保范围与人为损坏维修 【适用意图】repair_warranty 【关键词】质量问题、质保、保修、人为损坏、维修费用、保障卡 【适用场景】 1. 用户咨询商品在质保期内的质量问题、售后保障卡、以及人为损坏能否维修 【标准答复】 1. 若商品在质保期内出现质量问题，通常需要先核实购买时间、故障现象
2,4,"我想咨询一下，你们的售后维修服务范围是什么？
如果是人为损坏的，能维修吗？维修费用怎么算？",0.78881,,,,,,service_policy_repair_delay_repeat_failure,service,mixed,service,,【客服主题】维修超时、重复故障与翻新争议 【适用意图】repair_warranty 【关键词】维修15天、半个月、二次故障、修不好、翻新机、重复故障 【适用场景】 1. 用户反馈送修超时未返还、维修后短期内再次故障，或怀疑收到翻新机 【标准答复】 1. 若维修周期明显超过承诺时限，需要尽快核实维修单状态、配件进度和当
3,1,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.707854,,,,,,service_policy_shipping_delivery,service,service,service,,【客服主题】物流配送、待揽收与乡镇/国际寄送 【适用意图】shipping_delivery 【关键词】待揽收、物流、快递、乡镇、国外、运费、多久能到 【适用场景】 1. 用户咨询待揽收、物流时效、乡镇配送、国际寄送及运费 【标准答复】 1. 乡镇、偏远地区或国际地址能否送达，以及运费和时效，通常需要结合收货地区、承运
3,2,"请问你们的商品能开发票吗？发票类型是什么？
多久能收到呢？",0.692742,,,,,,service_policy_invoice,service,service,service,,【客服主题】发票类型、抬头与重开规则 【适用意图】invoice 【关键词】发票、纸质版、电子版、抬头、公司、税号、重开 【适用场景】 1. 用户咨询能否开发票、发票类型、企业抬头和抬头写错后的处理 【标准答复】 1. 开票前需要先确认订单是否支持开票，以及需要电子发票还是纸质发票、个人抬头还是企业抬头。 2. 企业抬
